小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
鹏欣水游城,章江新区新赣州大道新赣州大道7号,3室2厅1卫,105㎡,南,高层(共32层),2015年建造,14858元/㎡,156万,好房推荐 文清  万象城商圈 水游城三室精装修  采光视野好
联发雍榕华府,章江新区梅关大道梅关大道29号,3室2厅2卫,127.33㎡,南,中层(共32层),2017年建造,18692元/㎡,238万,新出好房！江景大三房 南北通透
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,90㎡,南,中层(共30层),2018年建造,12000元/㎡,108万,章江新区旁   方便 房东急售 电梯中间楼层 送家具家电拎包
联发雍榕华府,章江新区梅关大道梅关大道29号,3室2厅2卫,127.33㎡,南,中层(共32层),2021年建造,18771元/㎡,239万,诚意出售江景品质园林小区
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,142㎡,南,高层(共30层),2019年建造,14719元/㎡,209万,E地块 恒大帝景精装四房 中上楼层 牡丹亭兴国路
文明大道54-56号住宅小区,章江新区长征大道文明大道54-56号,5室2厅2卫,137㎡,南北,中层(共6层),2000年建造,6424元/㎡,88万,南门口旁精装五房，南北通透采光好
保利联发康桥,章江新区新赣州大道兴国路,4室2厅2卫,142㎡,南,中层(共26层),2020年建造,15493元/㎡,220万,捡漏好房  精装四房二卫 E地块 保利联发康桥
华润幸福里二期,章江新区登峰大道琴江路5号,3室2厅1卫,86㎡,南,低层(共34层),2015年建造,15349元/㎡,132万,华润品质 精致实用三房 楼层好 诚意出售 随时看房
中海天玺,章江新区兴国路兴国路,4室2厅3卫,168㎡,南北,高层(共25层),2019年建造,20953元/㎡,352万,南北通透 中海天玺 168平 4室2厅 满二  住房 楼层好
城市主场,章江新区宁都路赣江源大道,2室2厅1卫,73㎡,南,高层(共31层),2019年建造,15754元/㎡,115万,文清豪德  精装二房，视野  全天日照，拎包入住房东急售
乾盛T1公馆,章江新区登峰大道登峰大道,4室2厅2卫,107㎡,南北,中层(共33层),2018年建造,16543元/㎡,177万,新上 笋盘！新区旁E地块高端小区精装复式4房中间楼层
中海国际社区华府,章江新区赞贤路五指峰路21号,2室2厅1卫,89㎡,南,高层(共32层),2015年建造,13484元/㎡,120万,低于行情价10万！装修花了二十多万阳台视野无遮挡
龙湾上和城,章江新区梅关大道梅关大道10号,3室2厅2卫,128㎡,南,中层(共32层),2016年建造,14454元/㎡,185万,龙湾上和城 近医院 中间好楼层 购物方便 出行方便 满五
豪德银座,章江新区章江南大道江南大道,3室2厅1卫,93㎡,南,低层(共32层),2018年建造,10753元/㎡,100万,新区 豪德银座 全新精装 3室2厅 有小区 好停车 环境优美
文明大道109号小区,章江新区长征大道文明大道109号,5室2厅2卫,150㎡,南,高层(共7层),2000年建造,5734元/㎡,86万,红旗大道 文明大道鱼湾里附近 精装大5房2厅2卫仅售86万
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,140㎡,南,高层(共26层),2018年建造,15000元/㎡,210万,章江新区 E地块 牡丹亭小學 南北通透大四房 拎包入住
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,85㎡,南,中层(共30层),2017年建造,12706元/㎡,108万,星洲湾九境旁  电梯三房 不临街   诚意出售 小区人车分流
铂园,章江新区兴国路兴国路58号,5室2厅2卫,147㎡,南,中层(共33层),2021年建造,13266元/㎡,195万,捡漏 中海市政府旁 正规大5房 刚交付新小区 电梯中层
中航城,章江新区翠微路翠微路1号,4室2厅2卫,135㎡,南,中层(共29层),2011年建造,13334元/㎡,180万,九方 中航城 精装四房二卫 中楼层
丽景江山,章江新区赞贤路赞贤路88号,4室2厅2卫,105㎡,南,低层(共30层),2015年建造,12362元/㎡,129.8万,章江新区旁 满五 精装四房二卫 中楼层
宝能世纪城(东区),章江新区红都大道赣江源大道11号,3室2厅2卫,88.52㎡,南,低层(共33层),2016年建造,16819元/㎡,148.9万,宝能城精装新三房房拎包入住，绿化好物业好性价比高
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,4室2厅2卫,118㎡,南北,中层(共32层),2015年建造,14577元/㎡,172万,中海国际社区东郡A区 南北通透 4房 双卫 性价比高
华润幸福里一期,章江新区登峰大道琴江路,3室2厅1卫,86㎡,南北,低层(共28层),2015年建造,14419元/㎡,124万,房东大降价，万象城华润幸福里精装三房，小区品质高家具家电齐全
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,142㎡,南北,高层(共26层),2019年建造,14648元/㎡,208万,捡漏了 牡丹亭 恒大御景苑 南北通透户型 精装未入住 采光好
铂园,章江新区兴国路兴国路58号,3室2厅2卫,116㎡,南,高层(共28层),2021年建造,13449元/㎡,156万,章江新区市政府章江新区  旁赣州铂园 毛坯三房两厅 156万
宝能世纪城(东区),章江新区红都大道赣江源大道11号,3室2厅2卫,88.5㎡,南,低层(共33层),2016年建造,16837元/㎡,149万,捡漏好房 精装房卖毛坯价 舒适温馨刚需  婚房    位
云星公园大观,章江新区章江路章江路18号,4室2厅2卫,179㎡,南,低层(共31层),2019年建造,19554元/㎡,350万,万象城旁公园大观带露台大平层豪宅
乾盛T1公馆,章江新区登峰大道登峰大道,4室2厅2卫,108㎡,南,中层(共27层),2017年建造,16297元/㎡,176万,新区豪华装修复式四房2卫 精美户型 配套齐全 拎包入住
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,85㎡,南北,高层(共31层),2017年建造,12118元/㎡,103万,章江新区旁  精装3房  好楼层  总价低
保利联发康桥,章江新区新赣州大道兴国路,3室2厅1卫,93㎡,南北,高层(共32层),2019年建造,16130元/㎡,150万,保利联发康桥 93平米一线江景精装三房  中高层
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.76㎡,南,低层(共41层),2015年建造,20752元/㎡,510万,生态公园湖景大平层 1栋绝美户型 四房3卫
中国银行城南支行宿舍,章江新区长征大道东阳山路27号,3室2厅2卫,100㎡,南北,高层(共8层),1996年建造,5600元/㎡,56万,南门口精装三房，五米阳台，好停车
星洲湾九境,"章江新区赞贤路九曲河路,近南康路",4室2厅2卫,153㎡,东南,高层(共23层),2019年建造,15687元/㎡,240万,牡丹亭  附近 星洲湾九境   户型4房高层
联发君玺,章江新区登峰大道南康路,3室2厅2卫,128㎡,南,高层(共11层),2020年建造,16250元/㎡,208万,全景VR看房E地块纯洋房牡丹亭前后园林绿化南北通透满税
城央一品,章江新区兴国路兴国路45号,4室2厅2卫,114㎡,南北,高层(共32层),2018年建造,12983元/㎡,148万,城市中心中海物业，得房率高，景观楼层视野开阔，单价13000
嘉福金融中心,章江新区新赣州大道橙香大道26号,3室2厅2卫,125㎡,南,中层(共39层),2018年建造,15600元/㎡,195万,嘉福品质   楼层不临高架好看江 三房双卫双阳台
江南明珠,章江新区兴国路兴国路17号,4室2厅2卫,138㎡,南,中层(共11层),2010年建造,11595元/㎡,160万,市政府旁精装四房二卫电梯中层一梯二户纯板楼公摊小
世纪嘉园,章江新区梅关大道梅关大道,3室2厅2卫,143㎡,南北,低层(共27层),2015年建造,13427元/㎡,192万,精装修大三房带中央空调买进拎包入住，业主诚意出售，好房不等人
安居小区(一期),章江新区章江南大道客家大道20号,4室2厅2卫,120㎡,南,高层(共6层),1998年建造,6417元/㎡,77万,老区的价格买章江新区 四房 南北通透 小区改造好了 停车方便
城市主场,章江新区宁都路赣江源大道,3室2厅2卫,104㎡,南北,低层(共29层),2018年建造,16347元/㎡,170万,文清豪德 30万自住豪装 明亮三房两卫 加长阳台
宝能世纪城(东区),章江新区红都大道赣江源大道11号,3室2厅2卫,89㎡,南,低层(共30层),2017年建造,16293元/㎡,145万,房东急售！章江新区文清德！高端小区宝能！配套齐全！
华润幸福里三期,章江新区登峰大道琴江路,4室2厅2卫,127.55㎡,南,高层(共42层),2018年建造,16151元/㎡,206万,笋盘来袭 万象城旁房东豪装 大四房 超大赠送随时看房
海亮天城,章江新区红都大道东江源大道66号,4室2厅2卫,142㎡,南北,低层(共18层),2016年建造,14508元/㎡,206万,海亮天城大型居住社区，中心位置，一梯一户，南北通透，诚意出售
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,143㎡,南北,高层(共26层),2015年建造,14616元/㎡,209万,牡丹亭  旁南北通透四房开发商交付状态相当于新房
文明大道109号小区,章江新区长征大道文明大道109号,5室2厅2卫,135㎡,南北,高层(共7层),2000年建造,6371元/㎡,86万,便宜啊！大客厅！ 大阳台！ 渔湾里步步高 新区一桥之隔
融耀江滨御景,章江新区五指峰路五指峰路,4室2厅2卫,142.78㎡,南,低层(共31层),2017年建造,16670元/㎡,238万,新出好房！好地段好位置小孩学习方便！
云星中央星城,章江新区瑞金路赣江源大道8号,3室2厅2卫,124㎡,南,高层(共32层),2015年建造,13146元/㎡,163万,红旗二小旁云星中央星城轻松座4房只要124平163万
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,131.4㎡,南北,高层(共18层),2015年建造,13014元/㎡,171万,豪华装修带中央空调 通透3房 滨江二小赣州中学
丽景江山,章江新区赞贤路赞贤路88号,4室2厅1卫,104㎡,南,低层(共30层),2018年建造,13654元/㎡,142万,章江新区旁 电梯四房 小区人车分流 房子不临高架桥 拎包入住
路福江韵华府,章江新区梅关大道梅关大道2号,4室2厅2卫,126㎡,南,中层(共26层),2013年建造,15953元/㎡,201万,捡漏！章江新区 江景四房 带车位 中楼层 203万
星洲湾九境,"章江新区赞贤路九曲河路,近南康路",3室2厅2卫,127㎡,南,中层(共23层),2019年建造,14961元/㎡,190万,豪宅区星洲湾九境 全新装修 视野好 开阔 拎包入住
美的君兰半岛,章江新区登峰大道东江源大道,3室2厅2卫,110㎡,南,高层(共30层),2020年建造,12273元/㎡,135万,美的的楼盘，堪比美的家电的质量。这你敢想
中航云府(二期),章江新区赞贤路水南路3号,5室2厅2卫,117㎡,南,中层(共28层),2019年建造,16069元/㎡,188万,章江新区旁经开区 中航云府。117平4房复式楼
文明大道60号小区,章江新区长征大道文明大道60号,3室2厅2卫,115㎡,南北,中层(共6层),1998年建造,6505元/㎡,74.8万,南门口附近文明大道旁精装修三房两厅两卫115平方74万有柴间
水韵春天,章江新区新赣州大道赣江源大道,4室2厅2卫,97㎡,南,低层(共31层),2020年建造,17011元/㎡,165万,文清梅江！宝能城旁！165万买新区4房南北通透户型
宝能世纪城(西区),章江新区瑞金路安远路8号,4室2厅2卫,142㎡,南,低层(共32层),2018年建造,15141元/㎡,215万,捡漏啦！房东急售降价10！南北通透四房215万！朝南！
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,98.63㎡,南,中层(共33层),2016年建造,13080元/㎡,129万,房源性价比高  中间楼层 海亮天成3房
中海国际社区东郡B区,章江新区登峰大道信丰路,4室2厅2卫,143.6㎡,南,低层(共26层),2017年建造,13232元/㎡,190万,捡漏！新区中海国际社区 毛坯南北通透四房两厅 190万
铂园,章江新区兴国路兴国路58号,5室2厅2卫,149㎡,南,高层(共27层),2022年建造,13088元/㎡,195万,新区章江路  市政府旁赣州铂园 大气五房两厅毛坯 195万
中国银行城南支行宿舍,章江新区长征大道东阳山路27号,3室2厅2卫,100㎡,南北,高层(共7层),1994年建造,5680元/㎡,56.8万,步步高南门口旁100米 精装3房有院子好停车 中间楼层
文明大道109号小区,章江新区长征大道文明大道109号,5室2厅2卫,132㎡,南,高层(共7层),2000年建造,6970元/㎡,92万,文明大道 大润发商圈 精装5房 南北通透 采光好 好停车
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.76㎡,南北,低层(共34层),2018年建造,22380元/㎡,550万,云星公园大观 满二 全线湖景 4室2厅 南北通透 245平
起点壹中心,章江新区章江路登峰大道19号,4室2厅3卫,180㎡,南北,低层(共30层),2015年建造,13223元/㎡,238万,急售新区闹中取静万象城大公路  章贡中学南北通透起点壹中心
恒大翡翠华庭二期,章江新区新赣州大道沙洲坝路8号,3室2厅1卫,105㎡,南北,中层(共22层),2020年建造,14191元/㎡,149万,捡漏了恒大翡翠华庭 精装三房 拎包入住 性价比超高 三房朝南
江南明珠,章江新区兴国路兴国路17号,4室2厅2卫,145㎡,南,高层(共11层),2010年建造,12345元/㎡,179万,房东急售！！新区绝无正规大四房！南北双阳台！小区环境好
美的君兰半岛,章江新区登峰大道东江源大道,4室2厅2卫,130㎡,南北,低层(共28层),2021年建造,10693元/㎡,139万,急售 美的君兰半岛 楼.王位置 精装通透四房 亏本139万
美的君兰半岛,章江新区登峰大道东江源大道,3室2厅2卫,108.1㎡,南,低层(共33层),2022年建造,11656元/㎡,126万,新出好房！近万达精装修拎包入住
富升新城,章江新区瑞金路瑞金路19号,4室3厅2卫,140㎡,南北,高层(共12层),2007年建造,8858元/㎡,124万,富升新城 满五 精装修 电梯房 南北通透 诚心出售 价格可议
华润幸福里二期,章江新区登峰大道琴江路5号,3室2厅1卫,86㎡,南,低层(共34层),2015年建造,15349元/㎡,132万,华润品质 精致实用三房 楼层好 诚意出售 随时看房
丽景江山,章江新区赞贤路赞贤路88号,4室2厅2卫,105㎡,南,低层(共30层),2015年建造,12362元/㎡,129.8万,章江新区旁 满五 精装四房二卫 中楼层
中环中央城B区,章江新区登峰大道绵江路21号,3室2厅3卫,112㎡,南,低层(共18层),2017年建造,13554元/㎡,151.8万,中央公园旁 中央城 全屋瓷砖上墙 品牌家电
水韵春天,章江新区新赣州大道赣江源大道,4室2厅2卫,97㎡,南,低层(共31层),2020年建造,17011元/㎡,165万,文清梅江！宝能城旁！165万买新区4房南北通透户型
保利联发康桥,章江新区新赣州大道兴国路,3室2厅1卫,93㎡,南北,高层(共32层),2019年建造,16130元/㎡,150万,保利联发康桥 93平米一线江景精装三房  中高层
中航云府(二期),章江新区赞贤路水南路3号,5室2厅2卫,117㎡,南,中层(共28层),2019年建造,16069元/㎡,188万,章江新区旁经开区 中航云府。117平4房复式楼
中海派,章江新区赞贤路赞贤路,3室2厅1卫,90㎡,南,高层(共33层),2019年建造,12889元/㎡,116万,新区捡漏啦！中海大品牌大社区，精装小三房急售，手慢无
文明大道109号小区,章江新区长征大道文明大道109号,5室2厅2卫,132㎡,南,高层(共7层),2000年建造,6970元/㎡,92万,文明大道 大润发商圈 精装5房 南北通透 采光好 好停车
安居小区(一期),章江新区章江南大道客家大道20号,4室1厅2卫,104㎡,南北,高层(共6层),1996年建造,7404元/㎡,77万,捡漏！    起 新改造社区 安居金苑 精装拎包入住
财富港,章江新区章江南大道章江南大道28-32号,4室2厅2卫,153㎡,南,高层(共26层),2014年建造,10393元/㎡,159万,捡漏！章江新区全线江景房 全新精装四房两厅两卫 159万
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,131.4㎡,南北,高层(共18层),2015年建造,13014元/㎡,171万,豪华装修带中央空调 通透3房 滨江二小赣州中学
第五大道铂峯,章江新区登峰大道琴江路6号,4室2厅2卫,124㎡,南,高层(共29层),2015年建造,17259元/㎡,214万,章江新区 第五大道 万象城旁 实用毛胚四房 带车位 随时看房
第五大道铂峯,章江新区登峰大道琴江路6号,6室2厅2卫,150㎡,南,低层(共29层),2020年建造,16000元/㎡,240万,"万象城大气六房240万,南北通透双阳台，50个平方赠送"
世纪嘉园,章江新区梅关大道梅关大道,4室2厅2卫,129㎡,南北,高层(共32层),2016年建造,14109元/㎡,182万,世纪嘉园  一线江景 视野超好    南北通透大四房
中海凯旋门,章江新区兴国路五指峰路22号,3室2厅2卫,108㎡,南,中层(共26层),2019年建造,16204元/㎡,175万,全景VR看房中海凯旋门铂悦公馆精装三房未入住过视野好
城市主场,章江新区宁都路赣江源大道,3室2厅2卫,104㎡,南北,低层(共29层),2018年建造,16347元/㎡,170万,文清豪德 30万自住豪装 明亮三房两卫 加长阳台
中海国际社区东郡B区,章江新区登峰大道信丰路,4室2厅2卫,143.6㎡,南,低层(共26层),2017年建造,13232元/㎡,190万,捡漏！新区中海国际社区 毛坯南北通透四房两厅 190万
云星中央星城,章江新区瑞金路赣江源大道8号,3室2厅2卫,124㎡,南,高层(共32层),2015年建造,13146元/㎡,163万,红旗二小旁云星中央星城轻松座4房只要124平163万
温馨家园(赞贤路),章江新区赞贤路赞贤路,2室2厅1卫,73㎡,南,高层(共6层),2012年建造,8494元/㎡,62万,房东急售温馨两房位置地段好，户型反正。
黄金时代(B区),章江新区兴国路赞贤路,2室2厅1卫,103㎡,南,中层(共6层),2013年建造,9224元/㎡,95万,捡漏捡漏！章江新区市政府旁  时代  南北通透两房 95万
丽景江山,章江新区赞贤路赞贤路88号,4室2厅1卫,104㎡,南,低层(共30层),2018年建造,13654元/㎡,142万,章江新区旁 电梯四房 小区人车分流 房子不临高架桥 拎包入住
江南明珠,章江新区兴国路兴国路17号,4室2厅2卫,138㎡,南,中层(共11层),2010年建造,11595元/㎡,160万,市政府旁精装四房二卫电梯中层一梯二户纯板楼公摊小
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,89㎡,南,中层(共23层),2017年建造,11798元/㎡,105万,新区旁南北通透小三房，丽景江山拎包入住价格美
安居小区(一期),章江新区章江南大道客家大道20号,4室2厅2卫,120㎡,南,高层(共6层),1998年建造,6417元/㎡,77万,老区的价格买章江新区 四房 南北通透 小区改造好了 停车方便
中航云府(二期),章江新区赞贤路水南路3号,5室2厅2卫,134㎡,南北,低层(共30层),2019年建造,16792元/㎡,225万,火热火热的E地块大平层电梯五房，中  均在门口南北通透双阳台
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,135㎡,南北,高层(共32层),2016年建造,12593元/㎡,170万,全线江景云星中央星城 南北通透 性价比起级高 带车位 免个税
宝能世纪城(东区),章江新区红都大道赣江源大道11号,3室2厅2卫,89㎡,南,低层(共30层),2017年建造,16293元/㎡,145万,房东急售！章江新区文清德！高端小区宝能！配套齐全！
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,125㎡,南北,高层(共32层),2015年建造,12720元/㎡,159万,章江新区红旗  旁，精装通透四房，精装未入住
起点壹中心,章江新区章江路登峰大道19号,4室2厅3卫,180㎡,南北,低层(共30层),2015年建造,13223元/㎡,238万,急售新区闹中取静万象城大公路  章贡中学南北通透起点壹中心
星洲湾九境,"章江新区赞贤路九曲河路,近南康路",3室2厅2卫,126.56㎡,南,低层(共23层),2021年建造,13117元/㎡,166万,F4九境花园小区三房两厅
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.76㎡,南,低层(共41层),2015年建造,20752元/㎡,510万,生态公园湖景大平层 1栋绝美户型 四房3卫
嘉福金融中心,章江新区新赣州大道橙香大道26号,3室2厅2卫,125㎡,南,中层(共39层),2018年建造,15600元/㎡,195万,嘉福品质   楼层不临高架好看江 三房双卫双阳台
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,143㎡,南北,高层(共26层),2015年建造,14546元/㎡,208万,牡丹亭  旁南北通透四房阳台视野无遮挡
中海国际社区锦园,章江新区兴国路五指峰路19号,3室2厅2卫,130㎡,南北,高层(共25层),2017年建造,13308元/㎡,173万,章江新区 中海国际社区 章江路   中式装修3房
城央一品,章江新区兴国路兴国路45号,4室2厅2卫,114㎡,南北,高层(共32层),2018年建造,12983元/㎡,148万,城市中心中海物业，得房率高，景观楼层视野开阔，单价13000
美的君兰半岛,章江新区登峰大道东江源大道,3室2厅2卫,108㎡,南,高层(共13层),2021年建造,11852元/㎡,128万,万达广场商圈美的君兰半岛精装三房两卫电梯12层视野无遮挡
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,3室2厅2卫,108㎡,南北,中层(共26层),2015年建造,14630元/㎡,158万,中海社区精装三房二厅二卫   报价158万，
宝能世纪城(西区),章江新区瑞金路安远路8号,4室2厅2卫,142㎡,南,低层(共32层),2018年建造,15141元/㎡,215万,捡漏啦！房东急售降价10！南北通透四房215万！朝南！
路福江韵华府,章江新区梅关大道梅关大道2号,4室2厅2卫,126㎡,南,中层(共26层),2013年建造,15080元/㎡,190万,捡漏！章江新区 江景四房 带车位 中楼层 203万
中国银行城南支行宿舍,章江新区长征大道东阳山路27号,3室2厅2卫,100㎡,南北,高层(共7层),1994年建造,5680元/㎡,56.8万,步步高南门口旁100米 精装3房有院子好停车 中间楼层
海亮天城,章江新区红都大道东江源大道66号,4室2厅2卫,142㎡,南北,低层(共18层),2016年建造,14508元/㎡,206万,海亮天城大型居住社区，中心位置，一梯一户，南北通透，诚意出售
云星公园大观,章江新区章江路章江路18号,4室2厅2卫,179㎡,南,低层(共31层),2019年建造,19554元/㎡,350万,万象城旁公园大观带露台大平层豪宅
